Pressure	Volume
9.127288	71.872665
8.398594	71.857368
7.674018	71.842354
6.953655	71.827637
6.237752	71.813187
5.526499	71.799042
4.820127	71.785179
4.118759	71.771599
3.422693	71.758308
2.732074	71.745323
2.047111	71.732613
1.367993	71.720207
0.694922	71.708076
0.028104	71.696243
-0.407888	78.327713
-0.407189	78.358101
-0.406343	78.388840
-0.405350	78.419914
-0.404209	78.451347
-0.402918	78.483124
-0.401468	78.515259
-0.399874	78.547752
-0.398129	78.580605
-0.396232	78.613823
-0.394185	78.647408
-0.391970	78.681358
-0.389610	78.715698
-0.387087	78.750389
-0.384412	78.785484
-0.381584	78.820946
-0.378587	78.856796
-0.375438	78.893028
-0.372128	78.929657
-0.368652	78.966682
-0.365012	79.004112
-0.361210	79.041931
-0.357247	79.080154
-0.353122	79.118782
-0.348827	79.157829
-0.344364	79.197281
-0.339733	79.237152
-0.335074	79.276695
-0.330463	79.315552
-0.325671	79.354851
-0.320704	79.394615
-0.315557	79.434822
-0.310236	79.475494
-0.304729	79.516617
-0.299051	79.558220
-0.293186	79.600273
-0.287147	79.642815
-0.280917	79.685806
-0.274501	79.729286
-0.267910	79.773254
-0.261123	79.817696
-0.254148	79.862617
-0.247001	79.908043
-0.239653	79.953957
-0.232112	80.000359
-0.224386	80.047249
-0.216467	80.094643
-0.208361	80.142555
-0.200054	80.190956
-0.191559	80.239876
-0.182862	80.289299
-0.173969	80.339241
-0.164884	80.389702
-0.155598	80.440681
-0.146303	80.491188
-0.136850	80.541946
-0.127206	80.593254
-0.117353	80.645111
-0.107292	80.697525
-0.097018	80.750496
-0.086549	80.804031
-0.075855	80.858124
-0.064965	80.912773
-0.053858	80.967995
-0.042540	81.023781
-0.031015	81.080147
-0.019279	81.137077
-0.007325	81.194565
0.004842	81.252647
0.017215	81.311302
0.029811	81.370537
0.042607	81.430344
0.055626	81.490730
0.068857	81.551689
0.082292	81.613243
0.095955	81.675385
0.109828	81.738106
0.123912	81.801407
0.138213	81.865303
0.152733	81.929779
0.167434	81.994743
0.182257	82.059692
0.197293	82.125267
0.212544	82.191429
0.228007	82.258202
0.243701	82.325584
0.259598	82.393562
0.275716	82.462151
0.292038	82.531349
0.308592	82.601135
0.325353	82.671539
0.342319	82.742538
0.359496	82.814148
0.376897	82.886353
0.394491	82.959145
0.412304	83.032555
0.430319	83.106544
0.448545	83.181145
0.466973	83.256317
0.485606	83.332100
0.504436	83.408455
